SMILES,ID,Refcode,Bandgap,Link,
c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c6ccc(c7ccc2c1c37)c4c56,642482,POBPIG06,1.398,https://link.springer.com/article/10.1186/s13065-017-0352-7,
NC(N)=C(N(=O)=O)N(=O)=O,130779,SEDTUQ,2.2,http://scripts.iucr.org/cgi-bin/paper?S0108270198007987,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.75.104111
Fc1c(F)c(c(F)c(F)c1C1=CNN=C1)c1cc(cc(c1)c1c(F)c(F)c(c(F)c1F)C1=CNN=C1)c1c(F)c(F)c(c(F)c1F)C1=CNN=C1,1035991,HUWRUO,3.54,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.5b00144,
O=N(=O)N1C2OC3OC2N(C2OC3OC12)N(=O)=O,195633,MUGNUX,3,https://cdnsciencepub.com/doi/full/10.1139/cjc-2014-0089,
[N]1SC2=NSN=C2S1,53887,SAXPOW,0.8,https://iopscience.iop.org/article/10.1016/j.stam.2004.03.007/meta,
O=C1c2ccccc2C(=O)c2cc3C(=O)c4ccccc4C(=O)c3cc12,703585,YOFROB01,1.77,https://www.nature.com/articles/s41467-021-22698-9,
CN(C)c1ccc(cc1)C(=O)c1ccccc1,699128,KOFHET01,2.9,https://doi.org/10.1016/j.materresbull.2009.01.007,
NN=C(c1ccccc1)c1ccccc1,714752,ICOFAJ,3.25,https://doi.org/10.1016/j.jcrysgro.2009.04.007,
O=C(C=CC=Cc1ccccc1)c1ccccc1,856740,DPHPEN02,2.87,https://scripts.iucr.org/cgi-bin/paper?s0021889812030403,
Fc1ccc(cc1N(=O)=O)N=Cc1c(Cl)cccc1Cl,1050262,ZULQOO01,1.3,https://doi.org/10.1016/j.matlet.2021.130590,
c1ccc(C=Cc2ccc(cc2)c2ccc(C=Cc3ccccn3)cc2)nc1,628422,HESMEY,3.243,https://doi.org/10.1016/j.synthmet.2020.116474,
c1cc(ccn1)C=Cc1ccc(cc1)c1ccc(C=Cc2ccncc2)cc1,227582,PARMUS,3.264,https://doi.org/10.1016/j.synthmet.2020.116474,
c1cncc(c1)C=Cc1ccc(cc1)c1ccc(C=Cc2cccnc2)cc1,227584,PARMOM,3.253,https://doi.org/10.1016/j.synthmet.2020.116474,
COc1ccccc1C=Cc1ccc(cc1)c1ccc(C=Cc2ccccc2OC)cc1,744432,POWYUW,3.38,https://doi.org/10.1016/j.synthmet.2020.116474,
c1ccc2c(c1)cc1ccccc1c2C=Cc1ccc(cc1)c1ccc(cc1)C=Cc1c2ccccc2cc2ccccc12,844123,MARHOE,2.954,https://doi.org/10.1016/j.synthmet.2020.116474,
c1ccc2c(c1)c1ccccc1C2=Cc1ccc(cc1)c1ccc(cc1)C=C1c2ccccc2c2ccccc12,296446,XERHIM,3.251,https://doi.org/10.1016/j.synthmet.2020.116474,
COc1ccc(cc1OC)C(=O)C=Cc1cc(ccc1Cl)C(F)(F)F,1024158,ANAPOW,2.67,https://www.tandfonline.com/doi/full/10.1080/10667857.2016.1159016,
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,1840350,BIJHAG,2.01,https://pubs.rsc.org/en/content/articlehtml/2018/ce/c8ce00696b,
COc1ccc(cc1OC)C(=O)C=Cc1ccccc1F,1024155,AZITEK,3.18,https://doi.org/10.1016/j.optmat.2015.09.026,
