,Bandgap,SMILES,COD ID
0,1.118755,Clc1c(Cl)ccc(c1)[C@H](Cl)[C@H](Cl)[C@H](O)C(=O)OC,7226496
1,3.335133,O[C@H]1[C@H]2[C@H](NCc3c4OCOc4ccc23)c2c(C1)cc1OCOc1c2,1507720
2,2.854547,Clc1ccc2c(NCCCl)ccnc2c1,7215594
3,3.145922,OC(=O)Cc1c[nH]c2cc(ccc12)CC,2101963
4,3.467795,N1(c2ccccc2C(O)C1=O)C,7154039
5,4.223335,c1(ccccc1)[C@H]1C[C@@H]([C@@H](CO1)C=C)O,1506234
6,4.436907,[C@@]123CCCC[C@]41[C@H](C[C@@H]2OC4=O)C3=C,7151587
7,3.552425,O=C1CC(CC1)C(=O)O,2015669
8,4.265579,N1C(=O)OC(/C1=C/C(C)(C)C)(OCC)C1CCCCC1,1100226
9,3.02491,O=C1O[C@@H]2[C@@H]([C@@H]3[C@@](C=CC3=O)(CC2)C)C1,1517440
10,3.42563,Fc1c(OC)c(F)c(F)c(c1F)C#C,7204880
11,2.377199,COc1ccc(cc1)C(=O)c1[nH]c(=O)c2c(cccc2)n1,1508877
12,3.373563,Clc1ccc([C@@](O)(C(=O)NC=O)C(=O)OCC)cc1,4026498
13,2.113055,c12ccc(cc1CN1C(=O)N3[C@@]4([C@@]1(C(=O)OCC)N(C2)C(=O)N4Cc1ccc(cc1C3)N(=O)=O)C(=O)OCC)N(=O)=O,4021728
14,3.07836,c12ccccc1nc(s2)Nc1ccccc1,1503651
15,3.851428,n1(nnc(c2ccccc2)c1)Cc1cc(cc(c1)C)C,4029009
16,3.262693,Brc1c(c(Br)c(C)c(Br)c1C)C,4505800
17,3.239213,Ic1cc2OCOc2cc1CCN1CCC[C@]21CCC(=C2)C,1504750
18,2.639452,O=C1[C@H]2c3cc4OCOc4cc3CN(C(=O)[C@H]([C@H](OC(=O)C)C1)OC(=O)C)CC2,4020750
19,4.632069,O1C(=O)CNC(=O)C1,2015322
20,3.153258,Brc1ccc(cc1)C1=C[C@](C(=O)O1)(C)C=C,4105893
21,3.137848,O=C(Oc1c(OC)cccc1)Nc1ncccc1,4508471
22,2.979973,OC(=O)c1ccc(Oc2ccc(cc2)C(=O)O)cc1,2213865
23,3.196991,C(=O)(C(=O)O)O,4507988
24,2.915088,c1(cccc2ccc3cccc(c3c12)C)C,4121363
25,2.455839,Brc1ccc2nc(c3c(c2c1)C=CCC3)C(=O)NC,4028575
26,2.510769,O=C1N(C(=O)CC1)c1cc(N(=O)=O)ccc1,2014887
27,3.464312,BrCCCn1nnc(c2ncccc2)c1,2221663
28,4.06955,[C@@H]12[C@H]3[C@@H]([C@@H](C=C1)O2)C(=O)N(C3=O)CCO,2234078
30,1.815351,C1(=O)c2c3c(C(=O)N1c1ccccc1)ccc1C(=O)N(C(=O)c(c31)cc2)c1ccccc1,7203293
32,2.111985,s1c2cc(OC)ccc2c(c2c3ccccc3nc12)c1ccccc1,4022345
33,2.739157,C(=O)(/C=C/C=C/C(=O)OCc1c(c(c(c(F)c1F)F)F)F)OCc1c(c(c(c(F)c1F)F)F)F,4503997
34,3.603418,O=P(Cl)(C12CC34C5C67CC(C4)CC48C3C3(C9C5(C1)CC(C6)CC9(CC(C4)C3)C78)C2)Cl,4029462
35,2.660741,P(=O)(OC)(OC)c1nn2C(=O)Nc3ccc(F)cc3c2c1C(=O)c1ccccc1,7154629
36,6.144068,F[C@H]1[C@@H](F)[C@@H](F)[C@@H](F)C1,7118889
37,3.826669,O[C@H]1CC[C@H]2[C@@]([C@H]1C)([C@H](OC(=O)C(=C/C)\C)C1=C(C(=O)O[C@@]1(O)C2)C)C,2213624
38,4.74888,N1C2=NCCN2CC1,4332494
39,2.871961,Ic1ccccc1n1nnc2c1cccc2I,7153629
40,3.445124,[nH]1ncc2ccccc12,7052848
42,3.499163,NC(=O)Cc1coc2c1ccc(c2)O,2239150
43,1.894035,N(C)(C)c1ccc(/C=C(/C(=O)OCC)C#N)cc1,7220119
47,1.388785,N(=c1ccc2=Nn3c(=Nc2c1)cccc3)c1ccc(cc1)C,4025298
48,4.184077,O=N(CCNC(=O)CCCCCCCCC)(C)C,2226415
49,2.725979,n1ccc(cc1)/C=C/c1ccccc1,4109988
50,3.29135,Brc1c2[C@H]3[C@]45[C@@](C6c7ccccc7C4c4c6cccc4)([C@H](c4c3cccc4)c2c(Br)cc1)C(=O)OC5=O,4102039
51,1.982146,O=N(=O)c1cc2c3c(n(c2c2c1cccc2)Cc1ccccc1)cccc3,7221610
52,3.397648,O(c1ccc(Cc2[nH]nnn2)cc1)CC,2224930
53,3.72521,c1(ccc(cc1)C12C3C4C5C3C1C5C24)C12C3C4C5C3C1C5C24,4116372
54,3.531188,[Si]([C@@H]1C[C@@H]2C(=O)OC[C@@]3([C@@H]2C=C1)CCCC([C@H]3COC(=O)C=C)(C)C)(C)(C)C,1513565
55,4.635804,O=C1O[C@@H](C1(C)C)[C@@H]1OC(OC1)(C)C,4030997
56,4.951791,O=C([O-])C[NH3+],7219318
58,3.517442,Brc1ccc([C@H]2[C@@H](N(c3c2cccc3)C(=O)C(C)(C)C)/C=C/c2ccccc2)cc1,4026881
59,3.340522,N1(S(=O)(=O)c2ccc(C)cc2)[C@H]2c3ccccc3C(=C)[C@@H]1CC2(C(=O)OC)C(=O)OC,1501913
60,4.653888,ClC([C@H](C(=O)OCCCCCCCCOC(=O)[C@@H](C(Cl)(Cl)Cl)O)O)(Cl)Cl,7203265
62,4.071908,Brc1cc([C@H](O)CC(=O)O)ccc1,2101905
63,2.192302,C(=N\Nc1ccc(cc1)Cl)/c1ccccn1,7226238
64,3.423536,n1c(cccc1C)C(=C=C(c1nc(ccc1)C)C(C)(C)C)C(C)(C)C,2208414
65,4.124868,O1C(=O)C[C@@H](C[C@@H]1CI)c1ccccc1,7150034
66,4.602848,N12[C@@H](CC[C@H]1[C@H](CC2=O)NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,4025552
67,0.964325,C1(c2cccc3CCN(c4ccc(cc4N1)C(=O)OC)c23)c1cccc(c1)N(=O)=O,7151815
68,2.887136,[Se](=O)(c1cccc2ccccc12)c1ccccc1,4021814
70,2.538273,O(c1ccc(C(=N\O)/C=C/c2c(OC)cccc2)cc1)CC,7217020
71,3.753453,N1(CCCCC1)Cc1c(O)c(cc(c1)C)C(C)(C)C,2200321
72,2.236145,c12c(c3c(cccc3)s1)cc1c(c2)c2c(cccc2)s1,7103002
74,3.622543,s1c(N)nnc1C,2012267
75,2.615848,Nc1c(F)c(F)c(F)c(F)c1F,2213958
77,3.666658,Brc1ccc(NC(=O)C[C@@H](/C=C/C(F)(F)F)c2ccccc2)cc1,7155026
79,2.382672,N1=C2OC(=C([C@@H]3[C@]2([C@H](C(=C1N)C#N)CCC3)C#N)C(=O)OCC)C,7218766
80,3.097776,O1[C@@H](c2c3ccccc3oc2C[C@@H]1c1ccc(C#N)cc1)CC(=O)OCC,7153969
83,3.175872,c12ccccc1cccc2C(=O)N1C(C)(C)OC(=O)[C@@]1(C)[C@@H](c1ccccc1F)O,1513458
84,3.042078,n12c(nnc1cccc2)c1ccccc1,7154416
85,3.16589,c12ccccc1c(C(=O)OCC)nn2C(=O)OCC,4023177
86,4.00747,n1(nnnc1)CCN1C(=O)OCC1,7053128
88,2.723086,OC(=O)c1nccnc1,2207725
89,1.829592,o1c([C@H]2N(N=C(C)C2)c2ccc(N(=O)=O)cc2)ccc1,2211363
90,2.004494,Ic1ccc(C(=O)C(=O)c2ccc(cc2)I)cc1,4500396
91,3.448356,N(C(=O)C(=C(O)/C)/C#N)(c1ccccc1)C,4025361
92,2.797049,C(=C(/C#N)N)(/C#N)C#N,2015077
93,5.202388,P(=O)(OCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCC)O,4504831
94,3.723754,[Si](c1ccccc1)([C@@H]1CC(=O)[C@@]23[C@@H]4[C@]1(C)CO[C@H]4CC(=C)[C@@H]2[C@@](OC3)(OC)C)(C)C,4031812
97,4.848601,C1(CC(=O)OC1(C)C)C(=O)O,2018584
98,2.95697,S1CCO[C@@]21CCC[C@H]1C2=CCC(=C1C(=O)OC)C(=O)OC,2011698
99,2.807694,s1c2c(nc1n1nnc3c1cccc3)cccc2,4029070
100,2.42543,COC(=O)c1ccccc1N(c1ccccc1C(=O)OC)c1ccccc1C(=O)OC,4000134
101,2.730145,c1cccc2c1C1(c3ccccc3C2c2c1cc(C)c(C)c2)[c]12[Fe]3456789([cH]1[cH]3[cH]4[cH]25)[cH]1[cH]9[cH]8[cH]7[cH]61,4081667
103,1.421995,C1(=C2N(CCN2c2c3ccccc3ccc2)c2c3ccccc3ccc2)N(CCN1c1c2ccccc2ccc1)c1c2ccccc2ccc1,4107817
104,2.51685,O1C2N(CCC2)c2c1c(c1CC3=C(Oc1c2C)CC(CC3=O)(C)C)C,4021848
105,2.364401,Clc1cc(C(=O)/C=C/c2cocc2)ccc1,2241084
107,2.517485,s1c(/C(=C\C(=O)c2ccccc2)C(F)(F)F)ccc1,1518263
109,4.005536,CC#CC(=O)O,7054721
110,3.925599,O1c2c([C@H]3C=CC[C@H]([C@H]3C1=O)C)cccc2,4021846
