SMILES,COD ID,Bandgap
COC(=O)[C@@H](O)[C@@H](Cl)[C@@H](Cl)c1ccc(Cl)c(Cl)c1.COC(=O)[C@H](O)[C@H](Cl)[C@H](Cl)c1ccc(Cl)c(Cl)c1,7226496,1.1187550000000002
O[C@@H]1Cc2cc3c(cc2[C@H]2NCc4c(ccc5c4OCO5)[C@H]21)OCO3.O[C@H]1Cc2cc3c(cc2[C@@H]2NCc4c(ccc5c4OCO5)[C@H]12)OCO3,1507720,3.3351330000000003
ClCCNc1ccnc2cc(Cl)ccc12,7215594,2.8545469999999997
CCc1ccc2c(CC(=O)O)c[nH]c2c1,2101963,3.1459220000000006
CN1C(=O)C(O)c2ccccc21,7154039,3.467795
C=C[C@@H]1CO[C@@H](c2ccccc2)C[C@@H]1O.C=C[C@H]1CO[C@H](c2ccccc2)C[C@H]1O,1506234,4.2233350000000005
C=C1[C@@H]2C[C@H]3OC(=O)[C@@]24CCCC[C@]134.C=C1[C@H]2C[C@@H]3OC(=O)[C@]24CCCC[C@@]134,7151587,4.436907
O=C1CCC(C(=O)O)C1,2015669,3.552425
CCOC1(C2CCCCC2)OC(=O)N/C1=C\C(C)(C)C,1100226,4.265579
C[C@@]12C=CC(=O)[C@@H]1[C@H]1CC(=O)O[C@H]1CC2.C[C@]12C=CC(=O)[C@H]1[C@@H]1CC(=O)O[C@@H]1CC2,1517440,3.02491
C#Cc1c(F)c(F)c(OC)c(F)c1F,7204880,3.42563
COc1ccc(C(=O)c2nc3ccccc3c(=O)[nH]2)cc1,1508877,2.377199
CCOC(=O)[C@](O)(C(=O)NC=O)c1ccc(Cl)cc1,4026498,3.373563
CCOC(=O)[C@@]12N3Cc4ccc([N+](=O)[O-])cc4CN1C(=O)N1Cc4cc([N+](=O)[O-])ccc4CN(C3=O)[C@@]12C(=O)OCC,4021728,2.113055
c1ccc(Nc2nc3ccccc3s2)cc1,1503651,3.07836
Cc1cc(C)cc(Cn2cc(-c3ccccc3)nn2)c1,4029009,3.8514280000000003
Cc1c(Br)c(C)c(Br)c(C)c1Br,4505800,3.2626929999999996
CC1=C[C@]2(CCCN2CCc2cc3c(cc2I)OCO3)CC1,1504750,3.2392130000000003
CC(=O)O[C@@H]1C(=O)N2CC[C@@H](C(=O)C[C@H]1OC(C)=O)c1cc3c(cc1C2)OCO3,4020750,2.639452
O=C1COC(=O)CN1,2015322,4.6320689999999995
C=C[C@@]1(C)C=C(c2ccc(Br)cc2)OC1=O,4105893,3.153258
COc1ccccc1OC(=O)Nc1ccccn1,4508471,3.137848
O=C(O)c1ccc(Oc2ccc(C(=O)O)cc2)cc1,2213865,2.979973
O=C(O)C(=O)O,4507988,3.196991
Cc1cccc2ccc3cccc(C)c3c12,4121363,2.915088
CNC(=O)c1nc2ccc(Br)cc2c2c1CCC=C2,4028575,2.4558389999999997
O=C1CCC(=O)N1c1cccc([N+](=O)[O-])c1,2014887,2.510769
BrCCCn1cc(-c2ccccn2)nn1,2221663,3.464312
O=C1[C@@H]2[C@H]3C=C[C@H](O3)[C@@H]2C(=O)N1CCO,2234078,4.06955
S=c1n(Cc2ccccc2)ccn1Cn1cc[n+](Cc2ccccc2)c1.[Br-],4065225,2.851697
O=C1c2ccc3c4c(ccc(c24)C(=O)N1c1ccccc1)C(=O)N(c1ccccc1)C3=O,7203293,1.815351
C#CCn1cc[n+](C)c1.N#CN=[N+]([O-])[O-],1514326,3.663342
COc1ccc2c(-c3ccccc3)c3c4ccccc4nc-3sc2c1,4022345,2.111985
O=C(/C=C/C=C/C(=O)OCc1c(F)c(F)c(F)c(F)c1F)OCc1c(F)c(F)c(F)c(F)c1F,4503997,2.7391569999999996
O=P(Cl)(Cl)C12CC34CC5CC67CC8CC9%10CC%11CC(C5)(C69)C3C(C%11)(C1)C%10C(C8)(C2)C74,4029462,3.603418
COP(=O)(OC)c1nn2c(=O)[nH]c3ccc(F)cc3c2c1C(=O)c1ccccc1,7154629,2.660741
F[C@H]1C[C@@H](F)[C@@H](F)[C@H]1F,7118889,6.144068000000001
C/C=C(/C)C(=O)O[C@@H]1C2=C(C)C(=O)O[C@@]2(O)C[C@H]2CC[C@H](O)[C@H](C)[C@@]12C,2213624,3.826669
C1CN2CCNC2=N1,4332494,4.74888
Ic1ccccc1-n1nnc2c(I)cccc21,7153629,2.871961
c1ccc2[nH]ncc2c1,7052848,3.445124
Cc1cc2ncn(Cc3ccncc3)c2cc1C.N#C/C(=N\O)c1ccc(C(=O)O)cc1,7102158,2.359239
NC(=O)Cc1coc2cc(O)ccc12,2239150,3.4991630000000002
CCOC(=O)/C(C#N)=C/c1ccc(N(C)C)cc1,7220119,1.894035
O.O=C([O-])[C@@H]1Cc2c(O)noc2C[NH2+]1,7151577,4.570454
CCOC(=O)c1ccccc1Nc1ccc(Nc2cc(C(=O)OCC)c(Nc3ccc(Nc4ccccc4C(=O)OCC)cc3)cc2C(=O)OCC)cc1.ClCCl.ClCCl,4025788,1.434571
COC(=O)[C@@H]1Cc2ccccc2C(Nc2c(C)cccc2C)=[NH+]1.O=S(=O)([O-])C(F)(F)F,4073155,3.276777
Cc1ccc(N=c2ccc3nn4ccccc4nc-3c2)cc1,4025298,1.388785
CCCCCCCCCC(=O)NCC[N+](C)(C)[O-],2226415,4.184077
C(=C/c1ccncc1)\c1ccccc1,4109988,2.725979
O=C1OC(=O)[C@@]23C4c5ccccc5C(c5ccccc54)[C@@]12[C@H]1c2ccccc2[C@@H]3c2c(Br)ccc(Br)c21,4102039,3.29135
O=[N+]([O-])c1cc2c3ccccc3n(Cc3ccccc3)c2c2ccccc12,7221610,1.982146
CCOc1ccc(Cc2nnn[nH]2)cc1,2224930,3.3976480000000002
c1cc(C23C4C5C6C4C2C6C53)ccc1C12C3C4C5C3C1C5C42,4116372,3.72521
C=CC(=O)OC[C@@H]1C(C)(C)CCC[C@]12COC(=O)[C@H]1C[C@@H]([Si](C)(C)C)C=C[C@H]12.C=CC(=O)OC[C@H]1C(C)(C)CCC[C@@]12COC(=O)[C@@H]1C[C@H]([Si](C)(C)C)C=C[C@@H]12,1513565,3.5311879999999998
CC1(C)OC[C@H]([C@H]2OC(=O)C2(C)C)O1,4030997,4.635804
[NH3+]CC(=O)[O-],7219318,4.951791
C[n+]1cccc(C#N)c1.[Br-],2205500,1.7148729999999999
CC(C)(C)C(=O)N1c2ccccc2[C@@H](c2ccc(Br)cc2)[C@@H]1/C=C/c1ccccc1,4026881,3.517442
C=C1c2ccccc2[C@@H]2N(S(=O)(=O)c3ccc(C)cc3)[C@H]1CC2(C(=O)OC)C(=O)OC.C=C1c2ccccc2[C@H]2N(S(=O)(=O)c3ccc(C)cc3)[C@@H]1CC2(C(=O)OC)C(=O)OC,1501913,3.3405220000000004
O=C(OCCCCCCCCOC(=O)[C@H](O)C(Cl)(Cl)Cl)[C@H](O)C(Cl)(Cl)Cl,7203265,4.653888
CC1=CC(=NC#N)C(C)=CC1=NC#N.c1ccc2c(c1)[nH]c1c3ccccc3[nH]c21,7225353,0.413794
O=C(O)C[C@@H](O)c1cccc(Br)c1,2101905,4.0719080000000005
Clc1ccc(N/N=C/c2ccccn2)cc1,7226238,2.1923019999999998
Cc1cccc(C(=C=C(c2cccc(C)n2)C(C)(C)C)C(C)(C)C)n1,2208414,3.4235360000000004
O=C1C[C@H](c2ccccc2)C[C@H](CI)O1,7150034,4.124868
CC(C)(C)OC(=O)N[C@H]1CC(=O)N2[C@H](C(=O)OC(C)(C)C)CC[C@@H]12,4025552,4.602848
COC(=O)c1ccc2c(c1)NC(c1cccc([N+](=O)[O-])c1)c1cccc3c1N2CC3,7151815,0.964325
O=[Se](c1ccccc1)c1cccc2ccccc12,4021814,2.887136
C[NH2+][C@H](C)Cc1ccccc1.[Cl-],2218183,4.305321999999999
CCOc1ccc(C(/C=C/c2ccccc2OC)=N\O)cc1,7217020,2.538273
Cc1cc(CN2CCCCC2)c(O)c(C(C)(C)C)c1,2200321,3.7534530000000004
c1ccc2c(c1)sc1cc3c(cc12)sc1ccccc13,7103002,2.2361449999999996
O=C(O)CCCCCCC(=O)O.c1cc(/N=N/c2ccncc2)ccn1,7208905,1.745683
Cc1nnc(N)s1,2012267,3.622543
Nc1c(F)c(F)c(F)c(F)c1F,2213958,2.615848
COc1ccc2c3c1O[C@H]1C(c4c[nH]cn4)=CC[C@@]4(OCCCc5ccccc5)[C@@H](C2)N(C)CC[C@]314.O,4020302,3.3905629999999998
O=C(C[C@@H](/C=C/C(F)(F)F)c1ccccc1)Nc1ccc(Br)cc1,7155026,3.666658
Cc1n(C)cc[n+]1C.O.O=C([O-])O,7212126,3.706017
CCOC(=O)C1=C(C)OC2=NC(N)=C(C#N)[C@@H]3CCC[C@H]1[C@]23C#N.CCOC(=O)C1=C(C)OC2=NC(N)=C(C#N)[C@H]3CCC[C@@H]1[C@@]23C#N,7218766,2.3826720000000003
CCOC(=O)C[C@@H]1O[C@H](c2ccc(C#N)cc2)Cc2oc3ccccc3c21.CCOC(=O)C[C@H]1O[C@@H](c2ccc(C#N)cc2)Cc2oc3ccccc3c21,7153969,3.0977759999999996
CC(=O)NCc1ccncc1.CC(=O)NCc1ccncc1.O=C(O)/C=C/C(=O)O,7202554,2.779874
CN(C)C=O.NC(=O)c1ccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,4504253,2.228511
CC1(C)OC(=O)[C@@](C)([C@H](O)c2ccccc2F)N1C(=O)c1cccc2ccccc12,1513458,3.175872
c1ccc(-c2nnc3ccccn23)cc1,7154416,3.042078
CCOC(=O)c1nn(C(=O)OCC)c2ccccc12,4023177,3.1658899999999996
O=C1OCCN1CCn1cnnn1,7053128,4.00747
O.O.O=C(O)C(=O)O,2310123,3.3844449999999995
O=C(O)c1cnccn1,2207725,2.723086
CC1=NN(c2ccc([N+](=O)[O-])cc2)[C@H](c2ccco2)C1,2211363,1.8295919999999999
O=C(C(=O)c1ccc(I)cc1)c1ccc(I)cc1,4500396,2.0044939999999998
C/C(O)=C(\C#N)C(=O)N(C)c1ccccc1,4025361,3.448356
N#CC(N)=C(C#N)C#N,2015077,2.797049
CCCCCCCCCCCCCCOP(=O)(O)OCCCCCCCCCCCCCC,4504831,5.202388
C=C1C[C@@H]2OC[C@@]3(C)[C@H]2[C@]2(CO[C@@](C)(OC)[C@@H]12)C(=O)C[C@H]3[Si](C)(C)c1ccccc1,4031812,3.723754
[Cl-].[Cl-].[NH3+]CCCC[NH3+],2214759,5.411614
C/C(=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(O)cc1O.CN(C)C=O,2013814,1.6296519999999999
CC1(C)OC(=O)CC1C(=O)O,2018584,4.848601
COC(=O)C1=C(C(=O)OC)[C@@H]2CCC[C@@]3(OCCS3)C2=CC1.COC(=O)C1=C(C(=O)OC)[C@H]2CCC[C@]3(OCCS3)C2=CC1,2011698,2.95697
c1ccc2sc(-n3nnc4ccccc43)nc2c1,4029070,2.807694
COC(=O)c1ccccc1N(c1ccccc1C(=O)OC)c1ccccc1C(=O)OC,4000134,2.42543
Cc1cc2c(cc1C)C1(C34C5C6C7C3[Fe]6754389%10C4C3C8C9C4%10)c3ccccc3C2c2ccccc21,4081667,2.7301450000000003
COn1nnnc1N=[N+]([O-])[O-].NNC(=[NH2+])NN,7053222,2.345088
c1ccc2c(N3CCN(c4cccc5ccccc45)C3=C3N(c4cccc5ccccc45)CCN3c3cccc4ccccc34)cccc2c1,4107817,1.4219950000000001
Cc1c2c(c(C)c3c1OC1CCCN31)OC1=C(C2)C(=O)CC(C)(C)C1,4021848,2.51685
O=C(/C=C/c1ccoc1)c1cccc(Cl)c1,2241084,2.364401
Cc1ccc(O)cc1.Cc1ccc(O)cc1.Oc1ccc(C2(c3ccc(O)cc3)CCC(c3ccc(O)cc3)(c3ccc(O)cc3)CC2)cc1,4512799,3.6808789999999996
O=C(/C=C(\c1cccs1)C(F)(F)F)c1ccccc1,1518263,2.5174849999999998
C[C@H]1CC(C)(C)NCC[NH2+][C@H](C)CC(C)(C)NCC[NH2+]1.[O-]c1ccccc1-c1ccccc1O.[O-]c1ccccc1-c1ccccc1O,2101976,2.768236
CC#CC(=O)O,7054721,4.005536
C[C@@H]1CC=C[C@@H]2c3ccccc3OC(=O)[C@@H]21.C[C@H]1CC=C[C@H]2c3ccccc3OC(=O)[C@@H]12,4021846,3.925599
Cc1ccccc1C(=O)Nc1ccccn1,7212665,3.600439
CCOC(C)=O.O=P(Oc1cccc2c1N=[S@](=O)(c1ccccc1)C=C2)(c1ccccc1)c1ccccc1,4021663,2.700783
CC(C)(C)NC(=O)CCCC(=O)O,2203126,4.6853430000000005
Brc1ccc(/N=N/c2ccc(Br)cc2)cc1,4508439,2.04505
